Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  08:00:00,1.895499214,0.839667053,0,0.806586877,0,0.020843461,0.020843461,0.020843461,0.301621517,0.064977292,0.207405929,0.480263352,0.788743664
 01/05  09:00:00,1.829585337,0.993325935,0,0.965358557,0,0.024890629,0.024890629,0.024890629,0.288786568,0.062212303,0.268690649,0.406034923,0.762326265
 01/05  10:00:00,1.582790742,1.158743868,0,1.134941367,0,0.029257592,0.029257592,0.029257592,0.147602041,0.031797395,0.330033496,0.345568553,0.681887665
 01/05  11:00:00,1.480635683,1.210498607,0,1.186136311,0,0.030567357,0.030567357,0.030567357,0.121932142,0.026267417,0.34487662,0.353695754,0.586652394
 01/05  12:00:00,1.395866759,0.589096335,0,0.564726575,0,0.014508802,0.014508802,0.014508802,0.121932142,0.026267417,0.361119726,0.353804116,0.501590556
 01/05  13:00:00,1.299648849,0.023959243,0,0,0,0,0,0,0.121932142,0.026267417,0.351845974,0.347844169,0.435115146
 01/05  14:00:00,1.237962932,0.02478774,0,0,0,0,0,0,0.121932142,0.026267417,0.317847783,0.359872426,0.395399164
 01/05  15:00:00,1.201348394,0.026183497,0,0,0,0,0,0,0.128349577,0.027649903,0.292642171,0.380136245,0.355926499
 01/05  16:00:00,1.276507176,0.027638965,0,0,0,0,0,0,0.160436991,0.034562383,0.302863616,0.401266965,0.360733221
 01/05  17:00:00,1.580402022,0.032692052,0,0,0,0,0,0,0.269534103,0.058064812,0.353720743,0.474628493,0.40780987
 01/05  18:00:00,2.155722897,0.039715618,0,0,0,0,0,0,0.500563357,0.107834641,0.445069937,0.576597765,0.509013196
 01/05  19:00:00,2.57789721,0.043119174,0,0,0,0,0,0,0.744427561,0.160369476,0.398283704,0.626011142,0.602161327
 01/05  20:00:00,2.554941806,0.044507467,0,0,0,0,0,0,0.789349925,0.170046944,0.315345897,0.646166599,0.617388441
